Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2VQkDUvBr4Ya2OFnj6DgFF,"Valinor","Ethera: Celtic Fantasy Dreams Vol. 1","Somnia Arcadia",2023-11-11,116200,43,1136646439,2024-09-08T16:27:29Z,"","Everrealm Records",0.291,0.0642,2,-22.997,1,0.0319,0.968,0.983,0.112,0.13,150.265,4
0C0nfP37fC4auQsUeVE13l,"Northern Exposure","The Realm of Eternal Winter","Celestial Aeon Project,Scorewizard",2024-02-09,100645,44,1136646439,2024-09-08T16:27:29Z,"medieval,celta,dark ambient","Ouranio Recordings",0.196,0.249,10,-16.696,1,0.046,0.982,0.931,0.0921,0.0353,72.873,4
14gVFhzMKnxZJsHQBCPHkF,"Eternal Lands","Fantasy Exploration","Scorewizard",2021-12-05,115977,0,1136646439,2024-09-08T16:27:29Z,"medieval,dark ambient","Everrealm Records",0.14,0.0545,2,-26.78,0,0.039,0.959,0.973,0.0939,0.0388,82.135,3
70uceG9eeH6tO4Pll5oz04,"Fimbulwinter","The Vanir's Herald: Fantasy RPG Music","Valkyrion,Realmshifter",2024-04-12,65625,39,1136646439,2024-09-08T16:27:29Z,"medieval,dark ambient","Everrealm Records",0.158,0.184,5,-19.783,1,0.0351,0.303,0.97,0.106,0.0441,77.188,3
7Dcqg63R9aHaPtfs9O213B,"Dreaming of Bag End (From The Hobbit)","Dreaming of Bag End (From The Hobbit)","Scorewizard",2024-09-25,98887,43,1136646439,2024-09-25T12:42:54Z,"medieval,dark ambient","Scorewizard",0.373,0.115,2,-19.822,1,0.0338,0.984,0.888,0.0885,0.134,99.888,4
2Ci0eC4gQsSorf9ozB9ZAJ,"The Astral Garrison","Ice World","Valkyrion",2022-12-03,103884,0,1136646439,2024-09-08T16:27:29Z,"medieval,dark ambient","Everrealm Records",0.148,0.314,2,-12.515,0,0.0384,0.0959,0.948,0.26,0.11,71.189,4
4roSZlRwYtyXc4OBjSP6Aw,"Thor's Token","The Vanir's Herald: Fantasy RPG Music","Valkyrion,Realmshifter",2024-04-12,75952,42,1136646439,2024-09-08T16:27:29Z,"medieval,dark ambient","Everrealm Records",0.267,0.261,10,-15.849,1,0.0318,0.875,0.948,0.158,0.153,77.773,3
3BoDHN0BvqNm0dtDxSXi0f,"Sojourn","Rebirth: Drones of Fantasy","Moonlynx",2023-02-03,103037,0,1136646439,2024-09-08T16:27:29Z,"","Everrealm Records",0.17,0.191,4,-19.042,0,0.0384,0.532,0.96,0.0934,0.0376,67.58,3
4Z7jo9HXtYuqPVReUc8zSO,"Polar Constellation","The Vanir's Herald: Fantasy RPG Music","Valkyrion,Realmshifter",2024-04-12,102152,43,1136646439,2024-09-08T16:27:29Z,"medieval,dark ambient","Everrealm Records",0.066,0.325,7,-14.108,0,0.0398,0.882,0.303,0.123,0.035,72.146,4
7tXPYowNzW7QfydpnqRmlM,"Arcaneum","Fantasy Ambient, Vol. 3","Moonlynx",2024-02-04,99250,42,1136646439,2024-09-08T16:27:29Z,"","Everrealm Records",0.264,0.133,7,-20.113,0,0.0382,0.365,0.537,0.117,0.04,120.037,4
